"ano","ano2","sinano","c.total","c.rosa","c.7barbas","c.branco","tsm_med_AL","tsm_coef_AL","tsm_med_chuv_AL","tsm_med_seco_AL","tsm_amp_chuv_AL","tsm_amp_seco_AL","prec_med_AL","prec_coef_AL","prec_med_chuv_AL","prec_med_seco_AL","prec_amp_chuv_AL","prec_amp_seco_AL","c.rosa.recon","c.branco.recon","c.7barbas.recon"
1946,1966.31002015416,0.121824258377695,213.777546430686,0,0,0,27.0117435455322,2.90183317508029,27.1366284688314,26.5161547660827,2.2285881042481,0.980497360229503,122.820287884292,96.4047968504541,215.603947886851,40.3969443352323,346.428947368421,86.2947368421053,19.0427768819533,1.0798528929628,97.1641355056219
1947,1964.90561720131,0.146053512765744,179.270736590159,0,0,0,26.9860792160034,3.00885607118189,27.1053012212117,26.6385445594787,2.2530212402344,1.1661224365234,116.396338383838,73.8224401863168,141.509027777778,34.7053872053872,229.866666666667,65.6666666666667,17.8892173316346,1.17134448972568,286.997909701244
1948,1963.47227658337,0.172069770960413,144.763926749632,0,0,0,26.972199678421,2.87266515059331,27.1335515975952,26.6138596534729,2.3323059082031,0.6770420074463,124.956213225359,95.0916045191852,204.630787772069,39.0209667200581,275.677046783626,85.7426900584795,16.0847597806473,0.471097808469244,0.261141018129389
1949,1964.67439826689,0.199739918575767,173.656830433891,0,0,0,26.8540970484416,2.99587799228705,26.9506103197734,26.6484446525574,2.4907169342041,0.896274566650401,126.998858716242,95.2630750584372,207.574739180958,41.3193030239031,281.712110136452,71.0546783625731,17.1362585225762,0.826515201256529,10.9393065625747
1950,1965.03169308797,0.228922641255935,182.339671955586,0,0,0,26.7305743694305,3.00429325926437,26.742684841156,26.3584003448486,2.2222995758057,0.948930740356499,137.099636379299,94.6333740950648,191.091578747199,46.8911757291028,313.347173489279,84.0673489278752,16.8173739581591,0.84284096058248,303.577836682703
1951,1964.81630336792,0.259469154228751,177.100026209735,0,0,0,26.5980354150136,3.07330078999279,26.6520568529765,26.5749297142029,2.7780456542969,1.135326385498,110.519595986548,94.1764054321949,213.638368668221,41.466856506094,299.937215724496,76.0333333333333,19.9832549683058,1.02084377901634,2.53640767301116
1952,1968.7365758976,0.291223967947714,275.156253739217,0,0,0,27.1338447729746,2.99629794843334,27.2586925824483,26.63911485672,2.2032260894776,0.970275878906303,123.220184187434,89.8070740461624,169.257686341723,41.2901669876278,306.765147823262,82.9657894736842,21.3022448327481,1.72012240079793,423.989447570826
1953,1964.48887165599,0.324025685852127,169.165705508877,0,0,0,26.921498854955,2.48684183693633,26.9595785140991,26.5979247093201,2.037525177002,0.652135848998999,117.038894769456,92.3048675775255,198.762846953029,45.1159897163332,369.059050790557,84.7291910331384,19.1113218618328,0.556289286576781,100.926043369995
1954,1964.25316758772,0.357707830125175,163.476947270525,0,0,0,26.7867783705394,3.32494339578552,27.0094191233317,26.3091239929199,2.6528072357178,1.0001735687256,125.26940059509,94.0150512064799,207.900378916775,44.5492523628086,314.418062775251,86.4875081221573,17.4848048778194,0.754315592519826,32.296274183266
1955,1965.41771323357,0.392099691203085,191.771034298116,0,0,0,26.6968624591827,2.44667151686013,26.7791509628296,26.625328540802,2.2218856811524,1.1867103576661,143.553128518279,97.3795147219165,199.660048360285,42.1897219802357,396.306304598946,74.4326646090535,15.6234374902033,1.20438938628812,54.4229947182972
1956,1959.86736638623,0.427027196681726,60.8829161284778,0,0,0,26.8753116130829,2.59304038467897,27.0382595062256,26.5958013534546,1.9987564086915,1.168836593628,133.26639143343,97.5567631686095,210.630839841936,42.8233517824804,307.895000812216,79.8490867085409,12.2275846563407,0.414915939579519,0.0636270238282643
1957,1965.45953021478,0.462313795184892,192.795901073513,0,0,0,26.7887448469798,2.49037679411077,26.810035387675,26.5957016944885,2.0276470184326,1.1704330444336,124.452582302561,93.8489052752565,205.774018479838,38.2801912261542,299.173668492648,84.0211988304094,17.6930320648779,1.11681820844203,179.999653666006
1958,1969.97458709759,0.497781350696491,307.399037315353,0,0,0,26.8796008427938,2.87567396874292,27.1099514961243,26.3230910301208,1.9969863891601,1.1653518676758,116.222044908157,85.2747189037027,201.135080781337,38.1453217907693,329.930998300865,85.770955165692,22.97967836928,2.5385426322326,234.639085468974
1959,1965.24005527856,0.533251042822157,187.423879062177,0,0,0,26.974783261617,3.04697870939457,27.0856159528097,26.5480046272278,2.4729061126709,0.919042587280302,129.159148356787,95.3585567800373,218.836059799965,35.855916573979,342.072269026989,84.2444467005992,16.4406338276895,0.849186869276111,136.598535758453
1960,1966.21013114789,0.568544268430181,211.299532445893,0,0,0,26.8279728889465,2.7581707040444,27.027242342631,26.4956703186035,2.0975723266601,0.9478855133057,127.548810130453,95.4599548036245,207.261934752232,39.6785884984247,333.251444691117,86.1256335282651,18.0751692343395,1.02954570280704,39.5446657708904
1961,1979.7624650044,0.603483540130634,590.582927639396,0,0,0,26.7765527566274,3.15905219223072,26.8303167025248,26.4993257522583,2.7495460510254,1.1816501617431,122.491428571429,78.985357044755,209.576470588235,40.2444444444444,184.6,80.5,32.0644231278112,16.4755098655968,633.092195897319
1962,1959.47559708946,0.637893377081368,52,0,0,0,26.9056533177694,3.36638981847979,26.972819964091,26.623526096344,2.9024257659913,0.852472305297802,101.777777777778,111.058554182842,212.514285714286,31.3090909090909,366.7,99.9,14.7711990352865,0.249118223278594,12.3789868030044
1963,1962.68071627634,0.671601183664412,126,0,0,0,26.8809790611267,3.59577519443064,26.929749806722,26.6785430908203,2.6716842651367,1.5292987823486,111.34,88.0661725268435,207.607142857143,47.1619047619048,260.6,90.4,18.4407434327719,0.860701200308849,158.821603807487
1964,1959.29855618826,0.704438111650862,48,0,0,0,27.2534671624502,3.2888221536078,27.5460492769877,26.5026912689209,2.4905872344971,0.8610324859619,181.494736842105,71.9928685257358,262.641666666667,42.3857142857143,272,57.3,8.02807842632467,0.339715809620841,0.11023539808242
1965,1971.45291913471,0.736239901570285,346.793865398486,0,0,0,27.1422407627106,3.13305450940608,27.438841342926,26.5299191474915,2.4378871917724,1.1427574157715,146.483333333333,79.7338064279748,212.985714285714,53.38,331.9,76.2,22.5467040886163,3.52649599372924,267.439918949271
1966,1963.18792515955,0.766847699119495,138,0,0,0,27.0011654694875,2.76293044712007,27.0629992485046,26.8068990707397,2.2329578399659,1.4204406738282,142.15,67.2631261973369,205.4,53.6,188.2,78.3,15.2819608263556,0.958509161915054,190.557835304571
1967,1961.26784712021,0.796108842583746,93,0,0,0,27.064780553182,3.6669337276467,27.3005185127258,26.3415312767029,2.6370506286621,0.687263488769499,190.883333333333,72.5724041423041,243.488888888889,33.0666666666667,331.1,50.9,8.20238922777587,0.426899923715641,54.0130785824716
1968,1962.59584122518,0.823877617402935,124,0,0,0,26.820250193278,3.51388742419398,26.8088855743408,26.7344951629639,2.8736419677734,1.2676010131836,170.6,86.5268354196233,238.15,35.5,430.6,32.6,10.3976282568765,1.13834976175244,112.670515819091
1969,1961.65579975948,0.850015974192204,102,0,0,0,27.3871128559113,2.65922227867203,27.5891766548157,26.8577613830567,2.2494640350341,0.812150955200199,223.408333333333,90.9406543576075,305.7125,58.8,531.2,66.6,7.95083354962058,0.454095414040536,0.169014622675016
1970,1961.52670093703,0.874394206722028,99,0,0,0,27.1281842390696,2.86400309509034,27.0816650390625,26.9326872825622,2.4669742584229,0.807924270629901,205.35,82.7571195133308,351.5,59.2,372.15,25.6,8.88399522359167,0.667927578888011,0.312609854801937
