"ano","ano2","sinano","c.total","c.rosa","c.7barbas","c.branco","tsm_med_AP","tsm_coef_AP","tsm_med_chuv_AP","tsm_med_seco_AP","tsm_amp_chuv_AP","tsm_amp_seco_AP","prec_med_AP","prec_coef_AP","prec_med_chuv_AP","prec_med_seco_AP","prec_amp_chuv_AP","prec_amp_seco_AP","c.rosa.recon","c.branco.recon","c.7barbas.recon"
1946,1966.12665493962,0.121824258377695,12.3622461681907,0,0,0,27.6258184115092,1.1939960980446,27.4427808125814,27.9155917167664,0.448043823242202,0.823389053344702,209.161235690236,75.7059252757545,279.539865150483,31.1517123732051,374.363636363636,43.5526315789474,14.0852146400498,6.27249884433638,4.10329468024501
1947,1966.19907127412,0.146053512765744,12.8292643567668,0,0,0,27.4414777755737,1.35136835840731,27.342617670695,27.6119585037231,1.2430381774902,0.332887649536101,155.529292929293,50.5274035778862,217.702777777778,22.5541666666667,271.15,28.2666666666667,35.8548615073125,7.23703566674388,4.50825691336636
1948,1966.27142077569,0.172069770960413,13.2962825453429,0,0,0,27.5615803400675,1.87282424867463,27.5296579996745,27.6398758888245,1.5799980163574,0.7878093719482,175.268813131313,68.7762911844227,261.441359214914,28.1915704764606,353.979545454545,33.8809941520468,26.6424262427883,6.76994575984124,5.53989968409474
1949,1966.74640572326,0.199739918575767,16.3731082583148,0,0,0,27.6374293963114,1.13668167869266,27.4765179951986,27.8217105865479,0.844324111938498,0.346240997314499,171.446233164983,69.7756938788136,279.012093748871,31.8582262518119,376.66553030303,36.7571637426901,21.0064960245462,6.60974933225639,7.76750410386172
1950,1966.87314125928,0.228922641255935,17.1972580028609,0,0,0,27.6118081410726,0.660672949610599,27.5248285929362,27.7371048927307,0.616081237793001,0.217378616333001,194.72127875982,68.9766680991846,259.693831033174,30.1773805733831,389.813194444444,43.8977095516569,17.0558411544242,6.18711016842121,9.12000860615986
1951,1967.78783484664,0.259469154228751,23.1860794798955,0,0,0,27.8673739433289,1.10517807675539,27.8258221944173,27.9715085029602,1.0413093566895,0.1487216949463,177.993911920127,67.5782786424729,260.318130576223,30.7799879824034,341.482512626263,30.3190545808967,33.5815433690715,7.51740050183554,11.4309271625052
1952,1967.62918374014,0.291223967947714,22.1421564701371,0,0,0,27.8948384920756,0.900890235815826,27.8172562917074,27.9831032752991,0.598325729370103,0.582683563232401,215.643167301877,75.7636950880475,258.945697056564,34.1651276738247,368.573789983165,44.9477095516569,23.4203352664316,7.16656913910554,11.913922149632
1953,1967.4701987002,0.324025685852127,21.0982334603788,0,0,0,27.9396704037984,1.04570567128003,27.767120997111,28.1226100921631,0.639511108398398,0.0241146087645987,194.002496929818,74.3593004747436,266.759800226533,34.8070634834803,410.676062710438,36.8555636777128,17.9719634827404,6.73818770119152,13.4207714832279
1954,1968.1373523377,0.357707830125175,25.4936987646244,0,0,0,27.8269071578979,1.02569191519794,27.7770500183106,27.9547386169434,0.7146530151368,0.4187717437744,206.264160964173,79.2095871296094,275.901447279726,30.0708144777521,403.889497404602,40.4472384665367,23.321160354264,6.87378384268406,15.9736144998752
1955,1967.13440182543,0.392099691203085,18.900500808256,0,0,0,27.9252626101176,1.5796670429391,27.6384344100952,28.2309579849243,0.982032775878899,0.244195938110302,207.737883383085,66.3739813134563,275.287642483553,30.9713921332259,372.754598063973,28.8798990145116,24.8905214095818,7.05374266237739,13.3274644911268
1956,1966.99966866506,0.427027196681726,18.0214077474069,0,0,0,27.9088918368022,1.12873027420018,27.7529176076253,28.0592484474182,0.836257934570302,0.2862434387207,198.492013912271,67.7713990404607,253.598914147416,27.8629867529491,363.129121071829,40.7910320103242,23.0576429699908,6.69780652044776,13.2101029784605
1957,1965.59650899315,0.462313795184892,8.95633014093843,0,0,0,27.8979873657227,1.76116287826861,27.6295216878255,28.2427697181702,1.3595676422119,0.417661666870099,201.825799216011,74.9938424095387,282.346750970571,30.6508655606545,344.735595538721,36.977559833225,22.3687832466391,6.47569266053838,7.95885621034934
1958,1965.94543241514,0.497781350696491,11.195412676173,0,0,0,28.330193678538,1.29859025376255,28.3673051198324,28.2027425765991,0.7639274597168,0.718011856079098,189.025038455002,74.5734775105088,293.404453549433,25.2654480127076,376.571968820146,39.7196680293842,16.1810951988731,5.97612970234429,10.413058822117
1959,1965.59650899315,0.533251042822157,8.95633014093843,0,0,0,27.7345306078593,1.17195540896783,27.8100728988647,27.6869702339172,1.1478805541993,0.2578830718994,208.164411573295,76.3698182941909,277.954977851867,32.3304272851566,384.159548318837,40.1739754801097,15.6371485963559,5.86764840321351,9.55867097499724
1960,1965.59650899315,0.568544268430181,8.95633014093843,0,0,0,27.7477038701375,1.5655596583991,27.5457054773966,27.8990907669067,1.0236072540284,0.431135177612298,217.204280953089,73.2039781718379,320.109928980809,28.5505094529933,346.303790460547,36.6707762902197,20.6693056091135,6.30498366301449,9.68349744585521
1961,1968.84793968139,0.603483540130634,30.2188239666884,0,0,0,27.8212609291077,1.17185733168908,27.6797358194987,28.0115060806274,0.9272766113281,0.461454391479499,212.409768735205,76.6727341743828,257.727322869871,29.4165630558334,334.562117704826,47.2540527684523,39.8551445725221,8.10881699781976,21.5207262577917
1962,1965.59650899315,0.637893377081368,8.95633014093843,0,0,0,28.0710986455282,1.37097835484391,27.966924349467,28.1414203643799,1.2997150421142,0.281709671020497,199.810694225473,76.7135582787777,297.490239700853,33.3379023592431,348.042930153516,42.0853743261618,21.9258172571982,6.35223695697285,10.5183973134614
1963,1968.79338436901,0.671601183664412,29.8544338031281,0,0,0,27.9689405759176,1.13115727558697,27.8549817403158,28.1098155975342,0.906610488891598,0.4038791656494,217.200714933453,71.9569278617908,291.52394877744,30.7664886019367,360.265780197811,36.9016817377807,37.0922601633823,7.81316986463954,24.455991798576
1964,1967.43968163654,0.704438111650862,20.8981036621897,0,0,0,27.851061185201,1.48752937601829,27.8882261912028,27.7603001594543,1.1427402496337,0.576028823852599,223.197469172159,70.8752897959742,256.526778956361,24.4439701249523,359.677588383838,38.3467066908526,29.1652720647951,6.94763003140175,19.9557953248019
