"ano","ano2","sinano","c.total","c.rosa","c.7barbas","c.branco","tsm_med_MA","tsm_coef_MA","tsm_med_chuv_MA","tsm_med_seco_MA","tsm_amp_chuv_MA","tsm_amp_seco_MA","prec_med_MA","prec_coef_MA","prec_med_chuv_MA","prec_med_seco_MA","prec_amp_chuv_MA","prec_amp_seco_MA","c.rosa.recon","c.branco.recon","c.7barbas.recon"
1946,1950.4214586089,0.121824258377695,1385.09784083674,0,0,0,27.3069259007772,1.85703665568149,27.7357875061035,26.9513547897339,1.5095252990723,1.1192359924316,161.477450899731,103.502941309816,273.609977447697,21.9987555233495,507.25,68.1095238095238,18.6893930863211,1225.38853214416,835.813499288867
1947,1960.05618961959,0.146053512765744,2399.63757534399,0,0,0,27.4381197293599,1.93891161805819,27.8377991485596,26.9665740966797,1.4757041931153,1.0095119476318,129.393369565217,85.1807400165438,173.518015873016,16.3547619047619,302.85,47,53.9533481702958,1646.67356850148,1000.74188133725
1948,1968.19152239609,0.172069770960413,3414.17730985124,0,0,0,27.3407525062561,1.71558355991947,27.6906220245361,27.0323624610901,1.2070350646972,0.825136184692401,145.906523103024,101.018301442659,242.163326048342,19.5795651878985,407.941666666667,62.7365079365079,181.01071640081,1988.34393315039,1292.77760049523
1949,1974.38076407092,0.199739918575767,4352.45606207428,0,0,0,27.4905871073405,1.8366871672293,27.8666933441162,27.0415529251099,1.1952705383301,1.4143619537354,152.755235961877,108.550287934844,215.880760488093,18.4328709356487,477.475,64.2743386243386,353.379537475767,2339.37662746034,1896.31083853667
1950,1976.4759199038,0.228922641255935,4723.77195594228,0,0,0,27.0969051361084,2.42435084060287,27.794380569458,26.4988838195801,0.696783065795898,1.360782623291,155.690793763963,109.680438637444,222.506257993854,20.1835664349121,471.583333333333,68.1033950617284,380.832546353923,2504.46713229287,2106.51301436041
1951,1973.1267684337,0.259469154228751,4145.64895383834,0,0,0,27.2743631045024,1.86222565349248,27.5522967529297,26.883477306366,1.5480003356933,1.375638961792,142.837006813518,103.706287306639,264.807468745666,22.5819251124523,454.702777777778,65.4975308641975,318.554837422363,2244.41735693006,1863.52465054806
1952,1972.20189604713,0.291223967947714,3999.32706913043,0,0,0,27.5762202262878,2.44772931008647,28.2393516540527,26.8519639968872,1.0724468231201,1.147590637207,150.648982490779,104.857890500603,271.828366910026,21.3726486377104,423.684722222222,67.6625440917108,176.066746707726,2340.14164113783,1957.47472878413
1953,1973.82621770593,0.324025685852127,4259.73042327162,0,0,0,27.5290246009827,1.40820466857283,27.8763720703125,27.1932785987854,0.8370151519775,0.845911026000998,168.211426981077,110.122615128962,272.104499896393,20.6277022623946,437.658796296296,65.7129556143445,463.416097811097,2211.09247029983,1343.0335301684
1954,1967.48264321212,0.357707830125175,3317.73162313228,0,0,0,27.5781553268433,1.73818623064799,28.0332012176514,27.1219975471497,0.685592651367198,1.1351337432861,162.045843889948,103.615241862046,279.965207038424,20.3691397055966,413.345833333333,68.3400462962963,155.413469447924,1978.27453277635,1303.36149297421
1955,1968.99978813581,0.392099691203085,3526.4676451026,0,0,0,27.7266984621684,1.84836043013706,28.0894625854492,27.2406909942627,1.3346805572509,1.0264549255371,189.578542706819,99.1590983663388,287.386273406056,22.2878903689236,457.610416666667,64.2523974867725,155.568037598491,2104.74858300064,1465.28831001243
1956,1970.41420097399,0.427027196681726,3729.44377811294,0,0,0,27.6722476959229,1.30156512398421,27.9232223510742,27.378151512146,1.1371231079101,0.782890319824201,158.712077231711,113.731945980373,280.44022370975,23.748033448321,565.022569444444,68.9866683813443,309.691082452128,2051.28960625631,1110.56183307579
1957,1974.8101761963,0.462313795184892,4425.73968316614,0,0,0,27.6728099505107,1.83671128594595,28.0875177001953,27.2192321777344,1.0600757598877,1.4111022949219,190.285501658494,107.963903183416,288.446048503923,23.4320189185917,388.048919753086,65.6239068930041,335.743050370942,2402.80445800458,1864.92297746514
