"ano","ano2","sinano","c.total","c.rosa","c.7barbas","c.branco","tsm_med_PA","tsm_coef_PA","tsm_med_chuv_PA","tsm_med_seco_PA","tsm_amp_chuv_PA","tsm_amp_seco_PA","prec_med_PA","prec_coef_PA","prec_med_chuv_PA","prec_med_seco_PA","prec_amp_chuv_PA","prec_amp_seco_PA","c.rosa.recon","c.branco.recon","c.7barbas.recon"
1946,1955.3638394961,0.121824258377695,331.584489356962,0,0,0,27.255946681613,1.88159825628273,27.4937362670898,26.9230412619455,1.7463283538819,1.2797756195068,193.241167269372,84.6598748423595,271.221913000644,38.6360647630822,676.101960784314,86.0844444444444,1596.60524209198,101.116912375078,95.021410429385
1947,1955.91963979112,0.146053512765744,365.557226466171,0,0,0,27.3918974740165,1.94556972053992,27.6910418296347,26.9730953761509,2.01904296875,1.0830841064453,156.179266756635,44.6899941482633,175.894934340947,34.6734116288025,574.866666666667,73.0833333333333,1784.38022088649,117.998770757296,94.9202757451001
1948,1956.47187234038,0.172069770960413,399.52996357538,0,0,0,27.2959331557864,1.72001579792865,27.5492043787119,26.9413534436907,1.5472049713134,0.903701782226598,187.977844458053,75.6229240656325,245.255507446267,36.6330728794241,708.745098039216,83.0751851851852,866.624939346177,106.186218755908,101.653208972978
1949,1956.9093850113,0.199739918575767,426.602401551901,0,0,0,27.4420421237037,1.84146679778685,27.7184801685567,27.0550288609096,1.4442539215088,1.4502925872803,196.209719935071,79.6569815907423,235.556507068395,39.6113777305223,739.97614379085,83.2085185185185,559.2308673457,106.123779220262,104.936072575943
1950,1957.71770644461,0.228922641255935,476.993091769918,0,0,0,27.0532535598392,2.46166820242869,27.4623900432976,26.4804624829973,1.8584938049316,1.410234451294,192.758186114143,66.6169507591459,258.904902509851,36.2687523842974,639.540795206972,85.8446913580247,908.491414883322,126.438798321754,105.795558657023
1951,1956.78485645343,0.259469154228751,418.882526660159,0,0,0,27.2243236587161,1.85931802097123,27.464938261071,26.8874632154192,1.653263092041,1.4106731414795,167.785907595065,79.7177209967618,253.868340800118,37.7708497568272,633.82614379085,83.4751851851852,334.979165020166,110.819554370638,100.925953803819
1952,1957.50218812159,0.291223967947714,463.50974863708,0,0,0,27.5179814157032,2.48042499200972,27.9603773623097,26.8986270904541,1.9287147521973,1.4191780090332,196.80188435746,76.3326178792277,263.493072958055,40.517540531855,693.004738562091,82.538950617284,463.933198802603,120.740396153234,106.555918489781
1953,1957.78436084359,0.324025685852127,481.170284348327,0,0,0,27.4752618017651,1.46955735528042,27.7106044535734,27.1457820892334,1.3715858459473,0.938016891479499,187.070120794318,83.9815345128711,268.449826673967,39.4691679618101,781.106318082789,84.0500617283951,36.1930550284029,106.203424166789,111.103581883536
1954,1957.69829059567,0.357707830125175,475.776947095192,0,0,0,27.5094853809902,1.8093226000782,27.7746249607631,27.138289969308,1.6955413818359,1.3198986053467,196.408527314122,62.773912926223,236.864669045829,40.0344578494343,605.296287218591,83.777366255144,72.1573847155519,110.361743321952,104.46290330718
1955,1958.17560057415,0.392099691203085,505.757557119972,0,0,0,27.6631683849153,1.92066057333301,27.9293651970065,27.2904928479876,1.9095821380615,1.5214576721192,182.846747029591,81.7986419112794,260.183411331079,38.0359039339787,606.599854756717,86.5061659807956,99.6556270583661,106.248816271323,106.868168500488
1956,1952.78493548154,0.427027196681726,176.714566645042,0,0,0,27.6070388839358,1.36715684178412,27.7908383972791,27.3497195652553,1.2088184356689,1.038688659668,185.546187942666,72.069620636946,273.624210597064,38.6507433720503,654.393100944081,83.6223651120256,839.21078918016,75.7990611797154,81.4083667417
1957,1953.07250880154,0.462313795184892,193.765972198511,0,0,0,27.5995886212304,1.90792701164298,27.8583459270244,27.2373283931187,1.8816833496094,1.6393585205078,206.89311988119,80.3109221830357,268.519440360279,36.0905459906126,605.636453038005,83.5005349794239,283.611889198182,84.3368584340767,82.0241651572294
1958,1955.84316392299,0.497781350696491,360.869746622507,0,0,0,27.6773734546843,2.36577295460626,28.0892624757728,27.1007288251604,1.8022956848145,1.5850410461426,189.689342306683,74.1710855138277,252.709945126895,40.5893323965717,549.419786371339,82.4782030178326,135.438384388124,104.596265567942,93.8073936228689
1959,1957.87315341742,0.533251042822157,486.740122162659,0,0,0,27.5507567496527,2.40363945183664,27.9953519860093,26.9283234187535,1.9177799224853,1.1017036437988,190.022238391664,84.9201138362956,268.417157588039,38.3717513537872,647.531048273219,84.3566689529035,44.0232371088633,117.766090158127,106.873661286625
1960,1959.23004029871,0.568544268430181,572.617201041039,0,0,0,27.4673760732015,1.78657788273339,27.7332073133819,27.0952123369489,1.5650806427002,1.5344333648682,191.605217602254,78.2725039248145,266.005840987591,35.8071204699729,770.556318082789,84.6604286694102,185.554313043825,113.190406996212,118.936573545666
1961,1964.93439849174,0.603483540130634,950.813632214463,0,0,0,27.6080349059332,1.95935451199215,27.9234147363779,27.1665031433105,1.8924160003662,1.2168197631836,224.870212765957,105.010451241311,326.025806451613,28.88125,816.1,80.9,18.0710589440894,138.639211539264,157.400340308394
1962,1961.85466082775,0.637893377081368,743,0,0,0,27.7772979963393,2.31704370787733,28.1147080635538,27.3049239022391,1.973985671997,1.7610206604003,221.858139534884,85.3855408359504,299.01,43.8153846153846,667,78.1,25.2500589540878,142.6341466064,129.087213570509
1963,1957.31777119625,0.671601183664412,452,0,0,0,27.614935534341,2.36800351084719,27.9404575192198,27.1592047555106,2.0086250305176,1.6806106567382,168.564705882353,96.2846776857155,258.854838709677,28.615,639.2,77.8,407.259150000174,108.923483643462,103.767493093983
1964,1955.41987919933,0.704438111650862,335,0,0,0,27.642848378136,2.89568526619908,28.2349682632758,26.8138805389404,1.7401218414307,1.2989253997803,294.339130434783,93.9474177946455,419.822580645161,35.0066666666667,899.4,87.8,1210.11180203139,100.193981399682,100.924571095005
1965,1977.35908989566,0.736239901570285,1904.79701310024,0,0,0,27.2873804001581,2.1328056073372,27.5648797872115,26.8988812582833,1.9152984619141,1.4406661987305,214.86976744186,103.757911891531,347.904,30.1,833,71,373.238751031822,252.794999988044,269.212836819243
1966,1977.63391877267,0.766847699119495,1928.6689808751,0,0,0,27.7044656617301,2.2634744857976,28.0982351497728,27.1531883784703,1.5968341827393,1.1969089508056,206.436956521739,89.0877156125118,295.623333333333,39.2125,648.5,85.8,113.255741994833,226.579200472599,242.240713792933
1967,1960.77186471017,0.796108842583746,672,0,0,0,27.2821697053455,2.21826523221129,27.6761005557313,26.7306665148054,1.5630359649658,1.5598754882813,200.559649122807,94.5849707168156,296.797222222222,35.5809523809524,907.1,85.9632615073922,933.683812897235,130.263619362639,134.264252271455
1968,1960.69502412673,0.823877617402935,667,0,0,0,27.3743074735006,2.05859094949343,27.6427155319525,26.9985361916678,1.8773250579834,1.4292659759522,206.622580645161,69.0411343668819,265.497826086957,37.35625,489.9,78.7,706.2162742801,137.04099472858,113.775683446224
1969,1962.66776296577,0.850015974192204,797,0,0,0,27.7539780480521,2.45720595155955,28.2353987401845,27.0799890790667,1.6077327728272,1.2024574279785,194.53661971831,83.7052623922948,277.71914893617,31.6375,631.5,85.6,855.898262144201,124.691849543257,131.694593461414
1970,1971.72189211027,0.874394206722028,1445,0,0,0,27.5971403803144,1.86754304343805,27.8686669408059,27.2170031956264,1.7762966156006,0.890092849731502,179.505633802817,69.5590950995325,238.878,38.1428571428571,469,84.0036762688615,50.4063896394094,185.19295817956,171.481983437505
1971,1973.30651323442,0.896891586574461,1569,0,0,0,27.3755562191918,1.43400704090897,27.626230551272,27.0246121542794,1.1372699737549,1.1436271667481,183.871568627451,83.6198245713606,251.472463768116,42.5242424242424,595,85.9912843253061,403.102274895444,198.530192745683,197.790474386476
1972,1974.58663295443,0.917396951420413,1672,0,0,0,27.3885445594788,1.11574086334613,27.4319703238351,27.3277484893799,0.865303039550799,1.3520793914795,184.6075,73.2772970757996,256.8575,40.1075,390.1,85.7,699.538931651566,180.980072063684,179.006382938769
1973,1968.46498233054,0.935809244104226,1201,0,0,0,27.8596768606277,1.3857734430748,28.0817840731874,27.5487267630441,1.0485000610352,0.915798187255799,216.737762237762,69.2559409747882,269.453703703704,54.0714285714286,773.8,79.2,1291.88356348683,173.140359995288,179.856748733826
1974,1971.09572974323,0.952037999977709,1397,0,0,0,27.2982342810858,1.32144471091797,27.4701171018639,27.0575983319964,1.198335647583,1.3144283294677,225.307534246575,81.7078379494917,316.341237113402,45.0979591836735,779.6,89.6,763.0873734558,181.497439521563,201.408603072072
