"ano","ano2","sinano","c.total","c.rosa","c.7barbas","c.branco","tsm_med_PI","tsm_coef_PI","tsm_med_chuv_PI","tsm_med_seco_PI","tsm_amp_chuv_PI","tsm_amp_seco_PI","prec_med_PI","prec_coef_PI","prec_med_chuv_PI","prec_med_seco_PI","prec_amp_chuv_PI","prec_amp_seco_PI","c.rosa.recon","c.branco.recon","c.7barbas.recon"
1946,1965.97829074988,0.121824258377695,21.8588105790236,0,0,0,27.1130277315776,2.27700574091657,27.7210205078125,26.634357770284,1.1457366943359,0.556024551391598,114.784285610203,123.781184613186,221.349806815763,12.7008748807656,384.981818181818,48.071875,4.80675508234863,13.94418746014,26.8247773961399
1947,1968.38997910168,0.146053512765744,49.9707634878675,0,0,0,27.2843883832296,2.33386006677674,27.8218036651611,26.8646523157756,1.2256240844727,1.3978710174561,94.1822104018913,82.598795835808,200.440560496267,8.05768518518519,232.133333333333,38.0166666666667,7.00815601559201,20.6157774946541,39.8210189668127
1948,1970.70672870274,0.172069770960413,78.0827163967113,0,0,0,27.1710419654846,2.0666880757795,27.6890403747558,26.8241287867228,0.936489105224599,0.699134826660199,108.575790931946,101.646309652047,210.730763714545,11.3371335895973,248.8,45.475,8.12148803316758,24.2955528345631,36.7954433194509
1949,1970.75060417771,0.199739918575767,78.6264679036522,0,0,0,27.3032169342041,2.20603114345441,27.8251983642578,26.9039503733317,1.0596313476562,1.2396602630615,115.662380919523,116.006973007826,235.368313664232,13.6657142125008,424.457575757576,39.3675347222222,7.6502453995941,20.9766194780501,37.4801244480295
1950,1970.36328098113,0.228922641255935,73.8414546425724,0,0,0,26.9006843566895,3.00473763832171,27.7708755493164,26.253763516744,0.3703289031982,0.8407306671143,115.756721279026,107.58072668979,180.798110770456,11.577125844985,333.581818181818,43.7347222222222,9.03445027852089,21.6142669772,23.9038583982947
1951,1969.81283875036,0.259469154228751,67.0989359565054,0,0,0,27.0342752138774,2.10488860306923,27.4336662292481,26.7161219914754,1.2968902587891,1.2925777435303,107.898152632738,95.5342413805259,167.939562879212,12.8054585708102,499.473232323232,47.5611111111111,8.91557490737421,17.3770099780404,41.4155026022368
1952,1970.23946495141,0.291223967947714,72.3189504231379,0,0,0,27.3415735562642,3.02313579478491,28.1720329284668,26.6868041356405,0.863105773925799,1.2368640899658,98.9917127993295,117.866546395491,205.426269228419,11.5969332401238,346.441077441077,47.1172743055556,7.8681193582184,20.7914086760344,36.6537925610422
1953,1971.58612542575,0.324025685852127,89.0664968369173,0,0,0,27.2968804041545,1.85778685951741,27.8103652954102,26.9218940734863,0.615402221679698,0.6435432434082,113.190685667957,117.362577784975,213.480278019582,12.2407489691788,356.635437710438,42.3948784722222,8.91042341306053,23.8815616178563,31.3401595777517
1954,1972.35753478814,0.357707830125175,98.8540239618532,0,0,0,27.3122326533,2.23256507286418,27.9203693389892,26.8051087061564,0.548992156982397,0.7866725921631,125.327467372478,115.645654952668,210.980215407338,11.6009717673834,318.035858585859,42.3421296296296,9.70502591969825,26.7681476734889,29.0704540571365
1955,1972.17003078775,0.392099691203085,96.4615173313133,0,0,0,27.4718580245972,2.37950676614523,28.0315670013428,26.9901609420776,1.1210460662842,1.1168403625488,131.312628389188,116.057981961554,201.060774068562,13.0480684255516,373.186279461279,43.3788773148148,9.90540335630541,24.7481157876147,38.1831644661899
1956,1971.45643834582,0.427027196681726,87.4352423160946,0,0,0,27.4084045092265,1.70494245734641,27.8336071014404,27.0712051391601,0.918098449706999,0.490913391113299,113.553768357142,117.904390577459,209.869463945032,12.1672296614964,434.859722222222,47.3394965277778,8.69945215361594,21.4257389114082,36.9558278671919
1957,1971.89607015482,0.462313795184892,92.9815076868916,0,0,0,27.3876190185547,2.36084482140776,27.9951908111572,26.8734245300293,0.778470993041999,1.1328620910644,102.851146462496,120.809784962929,216.82993092496,10.808406000423,344.371303310887,44.153125,8.95242125217816,24.6953465066161,37.7636794960495
1958,1971.79295983537,0.497781350696491,91.6765040702335,0,0,0,27.4299046198527,2.79794572637716,28.2186962127685,26.7787977854411,0.566734313964901,0.866100311279297,115.780457492841,111.022642093188,222.053165736917,13.8497363378874,365.221485690236,50.8939236111111,8.41605371097065,23.2160313982285,30.2247693090695
1959,1974.45625737377,0.533251042822157,126.259099911674,0,0,0,27.3853027025859,2.82227464355594,28.1181579589844,26.8666149775187,0.836307525634798,1.5596752166748,112.741176186238,120.237458232367,204.090691358071,9.18798074767259,420.248779461279,40.4833622685185,12.3394808581773,30.1603371936028,42.2091916050021
1960,1966.39862320474,0.568544268430181,26.6798158586892,0,0,0,27.3238096237183,2.19951050130025,27.8682502746582,26.8335440953573,0.926528930664002,0.9138488769532,114.465709630278,116.86302243113,198.59014129241,14.4781580989864,283.658319304153,47.0650125385802,5.55492166433736,15.9690711917167,25.2111870356384
1961,1975.93955536065,0.603483540130634,146.377905668487,0,0,0,27.4266130129496,2.463295978702,28.0789367675781,26.9071283340454,0.973583221435501,0.977861404418903,121.355564528442,132.072792422983,261.50506963429,12.9319400843042,364.643186494575,47.9299141589506,10.9682354202589,35.2564222754704,46.4580152663897
1962,1966.42644045284,0.637893377081368,27,0,0,0,27.5986874898275,2.79753083188284,28.2889366149902,27.0211588541667,1.1340579986572,1.3756523132324,130.615854219188,129.821503351729,212.950243488899,13.0712362169201,313.630822109989,43.4090269740226,5.33668662755661,15.6435333290681,25.3262392486743
1963,1966.07804069352,0.671601183664412,23,0,0,0,27.4557792345683,2.84698382187474,28.1995098114014,26.824901898702,1.2021160125732,0.954959869384702,106.503631507334,104.269202897523,204.572010973845,12.7883719605367,429.514620354782,41.3795331790123,5.39739977715598,13.6974334978149,29.4071137319662
1964,1966.1653208325,0.704438111650862,24,0,0,0,27.4743620554606,3.47533515256908,28.4244117736816,26.7726634343465,0.748418807983402,1.6526260375977,109.334309069265,119.538503377395,194.878037933959,12.8244600277929,351.876224046016,51.8465808256173,5.37609859933205,14.4603751381912,23.0699545737794
1965,1966.65569827996,0.736239901570285,29.644239842988,0,0,0,27.1076095898946,2.53084741788707,27.6505672454834,26.6761706670125,1.3626747131347,1.3684139251709,113.030703185429,121.863168694443,255.095289354708,15.1421663091758,394.245344260506,43.7916369277263,4.61283875356736,14.6935609664258,32.0881053508278
1966,1965.6398380071,0.766847699119495,18,0,0,0,27.5215996106466,2.62970952264569,28.0909519195557,27.1144835154215,1.3609828948975,1.557508468628,107.792017546873,125.957705544254,225.639810898829,11.7821221170365,386.241040679428,44.1152809927984,4.6576092092051,13.7307325282248,29.7552441678616
1967,1966.51324006076,0.796108842583746,28,0,0,0,27.1105728149414,2.84654912175681,27.8883026123047,26.4933935801188,0.3975925445557,1.2927837371827,104.884966521085,120.589465625484,207.878809432884,14.9069207932074,389.2801963609,47.2096297903807,5.3978461867823,14.4680754801386,19.4468493737676
1968,1966.51324006076,0.823877617402935,28,0,0,0,27.2027541796366,2.44730456254785,27.8596691131592,26.6586497624715,0.8549613952637,0.883092880249002,103.96111122379,120.579836119693,240.641903920439,16.8219732029599,334.102610596708,46.9677083333333,4.73534380704542,15.2767738174566,26.3224705854093
1969,1967.03151492015,0.850015974192204,34,0,0,0,27.6189452807109,3.00060759705479,28.3890655517578,27.0876169204712,1.2415542602539,1.4748859405517,122.852305689059,123.126819151176,202.243124084372,12.5930106017621,392.055823279087,49.1552081993741,5.75422740616683,14.9434072878171,29.5850746798413
1970,1968.45680051232,0.874394206722028,50.765760731117,0,0,0,27.4752594629923,2.33117367226667,28.1584102630615,26.9868895212809,0.7173957824707,0.391473770141602,111.899763800758,122.417046973046,250.298261526971,13.8608962483797,360.691652637486,51.1965213477366,5.40478841999452,17.2167185685804,27.2733569564669
1971,1968.45680051232,0.896891586574461,50.765760731117,0,0,0,27.2734615008036,1.91316114460318,27.7724678039551,26.9087622960408,0.4359226226806,1.0651035308838,159.016666666667,118.85212590613,271.771428571429,1.16,474.7,47.1189846965021,4.98171117842926,15.7399681658889,17.0347896556715
1972,1968.9527397709,0.917396951420413,56.6946086997146,0,0,0,27.299343585968,1.26822299820561,27.4999927520752,27.0771156946818,0.4762878417969,0.9059238433838,132.518084628334,122.562748407554,207.674497026437,12.1985250010633,413.2671147561,50.8720196759259,6.74082559313806,17.1241365612204,21.2188358593172
1973,1969.50562385265,0.935809244104226,63.3645626643869,0,0,0,27.7935600280762,1.71660294412415,28.2263339996338,27.5286280314128,0.749900817871101,0.647718429565398,129.266666666667,104.399660178605,243.666666666667,14.8666666666667,279.8,39.8,6.54177883941101,21.4710009067683,26.8717133231724
1974,1970.68520475594,0.952037999977709,77.8161295878435,0,0,0,27.2138697306315,1.73711823530502,27.6461471557617,26.8780107498169,0.477903366088899,0.885240554809499,260.583333333333,121.94057655094,439.528571428571,10.06,905.4,25.7,4.14708664575798,15.7500339666681,12.5535765759825
1975,1971.54606457952,0.966003780192221,88.5621665309267,0,0,0,27.3278029759725,2.03091747711881,27.7911785125732,26.9205433527629,0.859525680542003,1.0216617584229,135.975,117.663328384968,223.885714285714,12.9,460.9,42.5,8.50575150081118,21.607471763596,31.3194235421531
1976,1978.92132552353,0.977638548935235,189,0,0,0,27.0095950762431,2.41405399976109,27.6007511138916,26.5079329808553,0.551786422729499,1.3377323150634,104.83125,123.724950139681,232.728571428571,5.35555555555556,225,25.3,18.4106992142152,65.7676136035701,47.0327664009487
1977,1978.92132552353,0.986885992884045,189,0,0,0,27.3515224456787,1.67045450436847,27.5280708312988,27.1736965179443,1.1941413879395,1.1218814849854,102.875,117.5472251084,201.7875,3.9625,246,18.4,21.9514598174413,68.6401304335918,67.82570547447
1978,1981.33282678965,0.993701781443465,226,0,0,0,27.3435688018799,2.27135104324125,27.9664985656738,26.9035908381144,0.7860507965088,0.847419738769499,109.195833333333,110.508365426085,214.818181818182,19.8230769230769,344.2,52.1,22.1884279141958,59.9509160734603,59.3500435477592
1979,1986.82276735646,0.998053766634097,322,0,0,0,27.5404348373413,1.80257562699859,28.0074337005615,27.1527309417724,0.8469848632812,0.525922775268601,68.0979166666667,107.511679349274,139.671428571429,12.4296296296296,187.3,47,54.0949394518375,129.571139596106,108.615200085467
1980,1993.79727724923,0.999922121802617,491,0,0,0,27.4847424825033,1.85171028131735,27.9981163024902,27.0824562708537,0.483198165893597,0.782955169677802,68.7166666666667,151.332448226564,177.4625,14.34375,392.4,56.6,85.304213995081,184.429637328772,126.361809851798
1981,1997.76993485518,0.999299418632729,781,0,0,0,27.2068360646566,2.01204802680906,27.769063949585,26.7574211756388,0.6440334320068,0.607591629028299,60.9772727272727,169.688169703837,152.3,3.47777777777778,465.6,31.5,155.035782408889,303.006777285639,254.929609890692
1982,1997.61867071875,0.996190642244561,809,0,0,0,27.1548894246419,2.48203025716181,27.808829498291,26.6355940500895,0.999626159667997,0.9381809234619,74.04375,135.581464245821,203.74375,9.19375,183.5,57.7,108.893821489154,269.411264594052,291.319127768585
1983,1987.58056004169,0.990613144479053,337,0,0,0,27.5150694847107,2.07611147793931,28.0733688354492,27.0836060841878,0.761833190917997,0.941205978393501,50.9791666666667,151.536924764451,173.058333333333,10.2861111111111,158.7,56.4,46.9100193621187,134.295539912772,125.477179869
1984,1997.442824881,0.982596535771026,670,0,0,0,27.4699398676554,1.83190778991074,27.9754322052002,27.0355024337768,0.347284317016598,0.599330902099599,136.710416666667,117.071077153486,271.522727272727,22.6384615384615,454.2,58.6,84.9172857121627,222.847001649618,99.3498269409294
1985,1993.1863982036,0.972182516318668,1028,0,0,0,27.3138373692831,1.74134345837188,27.7620685577393,26.964207649231,0.3651027679443,0.883680343627901,211.994444444444,97.0895814465485,323.282608695652,15.1,753.7,45.3,50.4676996761889,92.7024404575998,118.796288931645
1986,1967.80602730783,0.959424647556539,1457,0,0,0,27.3221581776937,1.70750004035554,27.7786766052246,26.9825019836426,0.8287448883057,0.563636779785199,98.7936649988768,124.183087459755,205.622345377429,10.8718100939329,409.019892144178,50.6197289737654,6.8190565071033,3.46463363382516,535.976896156838
1987,1995.42415232896,0.944388065232377,550,0,0,0,27.7246556282043,1.44911801800875,27.9743705749512,27.5739011764527,0.834785461425799,1.1712303161621,103.931886089379,121.290840638935,201.30500325251,12.992310974425,378.325178630296,53.7565827546296,90.8584488785155,221.11238787998,135.964100430744
1988,1993.48008990575,0.927149135673547,481,0,0,0,27.8229829470317,2.57430949295995,28.4203254699707,27.3340454101562,0.750724792480501,1.7472648620606,115.395638893595,132.519736776206,240.631670825887,11.5529155956483,346.73360950336,45.3377160761746,66.3117776019596,210.392536572812,104.618285490199
1989,1995.74880263964,0.907795057105996,564,0,0,0,27.5793774922689,1.33604667382236,27.8228874206543,27.3725214004517,0.475425720214801,1.0549430847168,103.854893262386,132.546159565869,220.691989272532,13.0705441917516,351.778988963711,42.2836516203704,91.7562073905658,265.643588509307,111.492170260861
1990,1997.81744112029,0.886423408154489,763,0,0,0,27.3840023676554,1.99020091048553,27.8795867919922,27.0140199661255,1.039363861084,0.886787414550803,115.333868271713,141.42135623731,238.098954344451,10.65,306.920863105049,46.4885971257716,102.283837749745,286.958226153224,204.982083216467
1991,1997.55631586554,0.863141645908404,682.833333333333,0,0,0,27.2545094490051,3.0022893029755,27.9217838287353,26.7170391082764,1.0714702606201,2.0589046478271,117.140663957381,101.102243208045,312.540305506894,15.5431083591914,387.721752569418,51.0156641160837,75.1754663852891,259.216550428287,179.701214679083
1992,1996.99742783342,0.838066556178734,632.472222222222,0,0,0,26.8896075884501,2.41098580936097,27.5059719085693,26.3919763565063,1.0371627807617,0.8132839202881,98.5524311164727,116.870234966147,203.630839112063,13.7568006540664,357.32785245935,50.717857028035,107.06946709267,261.781824351397,183.016303955339
1993,1995.82740269487,0.811323658800943,567.550925925926,0,0,0,27.2908922831217,1.71586398888493,27.6253784179688,26.9761301676432,1.0378494262696,0.7625026702881,107.863533865783,153.15991709348,92.4,10.5777777777778,52.8,52.4,164.828864756395,363.909360514882,152.254761560585
1994,1992.1612602559,0.783046571050679,442.89274691358,0,0,0,27.4306120872497,2.17344922839945,27.9774299621582,27.0599101384481,0.660476684570302,1.3965244293213,138.017777777778,91.62780956454,231.196153846154,10.5105263157895,269.4,41.9,61.4336992037232,209.038771775266,79.4907773457483
1995,1983.34487187055,0.753376332437337,259,0,0,0,27.2794216473897,2.2125223789791,27.7823925018311,26.8485644658407,0.579410552978498,1.4561996459961,104.576595744681,136.275437504729,244.515789473684,9.61785714285714,438.9,45.5,24.1980151903023,70.5641115101744,59.416984794608
1996,1985.93125953398,0.722460694320087,305,30.5,104.330990495509,79.3,27.473580678304,2.23374223445735,28.0131828308105,27.0655736923218,1.3657398223877,0.8670959472656,138.735416666667,111.775933578054,233.448148148148,16.9619047619048,454.5,55.9,31.4661306970575,83.0474482641595,81.80353275995
1997,1980.34262040854,0.690453377954393,210.5,21.05,72.005486882966,54.73,27.1509186426798,2.30867406516841,27.58503074646,26.7052507400512,0.680435180664002,1.4677600860596,85.6875,121.62901627368,185.785,14.1892857142857,279.5,59.6,21.7804456836733,55.3655688281196,62.7584266543505
1998,1981.17506824048,0.657513304720526,223.5,22.35,76.4523815598237,58.11,28.0082462628683,2.29522805801266,28.6131050109863,27.5057201385498,1.0107440948487,0.776582717895501,75.6895833333333,131.278626691589,183.258823529412,16.7,269.6,56.6,24.3597404520997,61.9453133352153,84.6701289081889
1999,1985.08815572579,0.623803802411014,289.5,28.95,37.5,75.27,27.7096700668335,2.04118386497071,28.2452014923096,27.2633250554403,0.324728012084901,0.818050384521502,128.58125,108.207318766375,240.820833333333,16.3416666666667,431,52,28.6391238196346,80.4197413909241,45.642561946129
2000,1981.26981346955,0.58949179155989,225,22.5,46.5,58.5,27.8027477264404,1.98914697641896,28.3559410095215,27.42311668396,0.7632236480713,0.643547058105501,140.648717948718,91.7169907723399,213.529166666667,24.04,451.5,56.4,21.8797063137934,52.3574277997018,48.0096230074543
2001,1980.88921076089,0.554746955881304,219,21.9,54,56.94,27.5115013122559,2.2647010563166,28.0417488098145,27.0635166168213,0.9587802886963,1.3032035827637,100.18275862069,142.60164970103,238.55,2.51176470588235,400.2,16.5,23.0338694293452,74.2866447648145,67.8058467635209
2002,1979.82025366724,0.519740900950844,202.5,20.25,85.5,52.65,27.5814827283223,1.81057344738123,27.9898399353027,27.2045672734578,0.734827041626001,0.951042175292898,53.9136363636364,186.588095669651,197.654545454545,6,328.2,56.1,19.5528649098425,51.0589584486597,82.4829924561751
2003,1970.13197760373,0.484646305307353,71,7.1,31.5,18.46,27.9452687899272,2.11001299869862,28.5402328491211,27.5201059977213,0.829065322876001,0.722099304199201,119.483333333333,113.409388755273,218.441666666667,20.525,458.6,59.4,7.01675631149695,17.695604126657,31.1675066146926
2004,1968.60230398166,0.449636068176264,52.5,5.25,25.5,13.65,27.8098376592,2.41385749978206,28.470283126831,27.3477614720662,0.963853836059602,0.860063552856499,114.266666666667,121.759592713666,223.004347826087,14.228,432.2,59.4,5.87772912740132,15.8801306059538,31.1021624135648
2005,1975.87584468506,0.414882458019471,145.5,14.55,41.5,37.83,27.8474777539571,2.31143764795905,28.4523391723633,27.3427375157674,0.8785705566406,1.0254898071289,100.214583333333,112.662617798655,193.495833333333,6.93333333333333,293.6,57.7,13.5164597346963,35.6823039492213,50.6632836265266
2006,1975.65743226331,0.380556266097818,142.5,14.25,63.5,37.05,27.8079493840535,2.40259163131932,28.4330757141113,27.2979485193888,1.1462287902832,0.71875,108.439583333333,112.312115259074,209.3,15.648,400.8,39.4,13.820929667687,34.8860834006529,54.1753250496153
2007,1971.62053578638,0.346825969195469,89.5,8.95,37,23.27,27.8501946131388,2.52775244152136,28.5549644470215,27.2664620081584,0.327476501464801,1.1537361145019,98.5604166666667,135.393232451742,228.889473684211,13.1724137931034,375.5,49.6,8.09234085384275,22.7490971008442,27.9922902153999
2008,1985.61764263429,0.313856905595594,299.172079118876,0,0,0,27.8991312980652,2.01938055435927,28.4159973144531,27.486559232076,0.754573822021499,0.9892253875732,136.439583333333,125.268954364983,293.066666666667,14.6185185185185,488.4,51.5,24.7618440609258,80.9936466872996,60.3563247057827
2009,1987.14520188812,0.281810468319621,328.317159890907,0,0,0,27.7278405825297,2.07224106171278,28.1937610626221,27.3938360214234,0.7933444976807,1.4510040283203,171.672916666667,119.487083899998,311.708,19.4608695652174,657,54.8,26.8060158740772,80.462779393169,54.5865352459063
2010,1987.00757575578,0.250843319543787,325.609277386342,0,0,0,28.3288853963216,2.7390224608222,28.9487991333008,27.8763087590536,1.6577033996582,1.4477272033691,102.020833333333,102.949115860899,172.773076923077,18.4045454545455,303.6,58.3,45.0062222606581,104.602598447977,122.755311392227
2011,1992.34605064689,0.221106629990628,447.942491417902,0,0,0,27.8559956550598,1.94838135227225,28.388512802124,27.4907382329305,0.6688537597656,0.7453517913819,134.95625,104.588447306454,226.825925925926,16.8380952380952,387.7,58.4,59.7877823478553,159.741961129154,82.2628162389018
