"ano","ano2","sinano","c.total","c.rosa","c.7barbas","c.branco","tsm_med_RS","tsm_coef_RS","tsm_med_chuv_RS","tsm_med_seco_RS","tsm_amp_chuv_RS","tsm_amp_seco_RS","prec_med_RS","prec_coef_RS","prec_med_chuv_RS","prec_med_seco_RS","prec_amp_chuv_RS","prec_amp_seco_RS","c.rosa.recon","c.branco.recon","c.7barbas.recon"
1946,1975.57429734134,0.121824258377695,933.073988058906,0,0,0,20.697295554479,12.3230478006309,18.1572498703003,22.8785693359375,5.3679389953613,4.9360694885254,115.478206689659,62.5134356862982,176.580142938695,63.4836449973888,223.624489795918,97.2418604651163,815.932601112674,71.8815820033808,82.3394602466061
1947,1975.85044445388,0.146053512765744,1069.24747922859,0,0,0,20.2133930206299,14.5876534015154,17.4607696533203,23.0297574615479,6.4961996078491,5.9032115936279,115.357476724664,42.1448108198525,139.047537020047,49.4719959621275,229.666666666667,77.75,1133.86140809423,88.5702737828576,87.5808702647757
1948,1976.1221229933,0.172069770960413,1205.42097039827,0,0,0,20.0111719926198,13.6828263259767,17.3586115646362,22.252420425415,6.2557058334351,5.6609268188476,127.701102643929,54.7495258002344,163.790366029658,65.0099872685373,220.195578231293,86.475,1229.60659246887,100.311439729792,93.3363064407829
1949,1975.8739000075,0.199739918575767,1080.91636960174,0,0,0,20.1253855705261,12.7975292744986,17.6962077331543,22.4048889160156,5.2671775817872,5.9976654052734,107.730864030172,59.3754367385615,171.352730483958,61.1417305468412,168.219274376417,87.0791666666667,1165.83069939232,99.2031767811788,87.9024709354144
1950,1976.09127232034,0.228922641255935,1189.84423149264,0,0,0,20.3458799521128,12.4803157637638,17.9561524581909,22.5621627807617,6.0058526992797,5.5690212249756,126.685965361872,58.1430560401886,167.342158302407,65.1214148825729,228.914455782313,101.304263565891,1192.63611005831,102.983247633163,93.5357889355105
1951,1976.11087197917,0.259469154228751,1199.73682707832,0,0,0,20.1623927116394,12.4240703407756,17.8372035217285,22.4099369049072,4.7851009368897,5.8698501586914,116.360745469673,56.622287173795,167.40875635475,63.0325562716145,217.4850718065,90.4673772609819,1270.52113975047,109.813736874044,93.4923033080499
1952,1977.11854015956,0.291223967947714,1725.46542894914,0,0,0,20.1239278475444,14.0085538178193,17.356623840332,22.4601328277588,5.4780769348145,5.8010139465332,118.002815954254,64.9279623112827,174.561677527816,65.538127591055,219.615929705215,89.55,1828.22844010961,147.411050209617,118.415641806248
1953,1975.30803693212,0.324025685852127,803.814382754354,0,0,0,20.7654915968577,13.2189636662347,18.1696287918091,23.2560356140137,5.4772043228149,5.6529045104981,120.553998005732,61.1509073862931,183.214850161645,64.4254985417598,168.222420634921,98.530706287683,804.456510951492,67.3408455975423,76.3936671289894
1954,1976.67704323675,0.357707830125175,1490.83055132865,0,0,0,20.6699186325073,13.2905713395186,18.0245851898193,23.0997970581055,5.1702938079834,6.0916194915771,124.396249776667,60.0320165078542,184.850411115685,67.7193917959515,213.609046674225,95.2791666666667,1653.47147727573,137.082359246891,109.003232885657
1955,1976.72134239985,0.392099691203085,1514.05902162651,0,0,0,20.1958053588867,15.3675420598534,17.0671671295166,22.8665483856201,4.8983011245728,6.7540073394775,113.990481261373,61.0238686461643,169.267145152535,67.1922226046359,226.73500803099,91.8022502153316,1869.04605101449,143.369374628198,108.437560294648
1956,1975.50105740603,0.427027196681726,897.323155777372,0,0,0,20.1057554086049,14.6292958256595,17.3477741622925,22.6928314208984,5.601634979248,7.2418231964111,101.605890574149,56.6814890639042,176.789164476093,57.7910335691691,219.106001590451,93.6125,1168.68869977549,91.1774546382282,79.4546377702059
1957,1979.87331278453,0.462313795184892,3392.49834671969,0,0,0,20.3084837595622,13.0272961095664,17.7460009002686,22.6706531524658,5.6094388961792,4.5890159606933,99.7622628635147,58.1780812928634,173.400541936912,64.1627912296201,189.457097190728,91.5569444444444,2879.66982220418,239.920640786126,212.339798879606
1958,1977.63183842129,0.497781350696491,2007.59534197654,0,0,0,21.1797484079997,11.4848076380889,18.9076055908203,23.1551533508301,4.4943904876709,6.0840549468994,108.790051445129,61.849399447468,176.198848841598,60.7656227867744,171.259997401738,98.5383128768303,2244.47893490039,197.906014516462,137.902908913474
1959,1974.53191466209,0.533251042822157,437.646972866869,0,0,0,20.779203748703,13.933142580156,17.9818864822388,23.3144776153564,5.6632537841797,6.7729225158692,130.998677575973,58.8105213188189,174.880209766333,64.7308847442044,262.314455782313,94.5719028136664,512.806280239908,41.0182624692746,58.9328029325876
1960,1978.47125651237,0.568544268430181,2493.70657693941,0,0,0,20.7813180923462,13.4615069261997,18.042993850708,23.2168409729004,5.2004976272583,5.8205585479736,121.306479952275,56.9694091305506,176.452506273342,61.2404730157412,269.424631519274,90.8160906546081,2679.93700866449,220.383737651028,162.552309748933
