"ano","ano2","sinano","c.total","c.rosa","c.7barbas","c.branco","tsm_med_SC","tsm_coef_SC","tsm_med_chuv_SC","tsm_med_seco_SC","tsm_amp_chuv_SC","tsm_amp_seco_SC","prec_med_SC","prec_coef_SC","prec_med_chuv_SC","prec_med_seco_SC","prec_amp_chuv_SC","prec_amp_seco_SC","c.rosa.recon","c.branco.recon","c.7barbas.recon"
1946,1971.18640481041,0.121824258377695,465.149307631917,0,0,0,22.5247642993927,9.18652745663866,24.9184643427531,21.3951021432877,1.6427307128906,4.3294677734375,130.463490056932,60.2594323175116,184.706818032472,65.3578431300316,256.997872340426,88.3108695652174,405.266979548683,30.8431996550279,530.104040756429
1947,1971.80092810337,0.146053512765744,620.234291416531,0,0,0,22.0847395261129,12.5629783549329,25.7986714045207,20.637915968895,1.1371002197265,6.2314281463623,104.543287037037,48.5646799280253,115.041239316239,38.0160779366414,158.616666666667,62.5833333333333,374.353089636782,3.65433468560407,201.419098300389
1948,1972.40230659846,0.172069770960413,775.319275201145,0,0,0,21.9799600442251,10.7522772949587,24.9803495407104,20.6532202959061,1.4180221557618,5.6526412963867,141.556805113999,58.6101178382951,181.909112177223,63.5538944978546,230.635401891253,77.512922705314,436.491723656849,41.437163120564,547.285093468484
1949,1973.25307474746,0.199739918575767,1000.76297778722,0,0,0,21.8609981536865,9.90128933057513,24.5795981089274,20.70390188694,1.347713470459,5.2428417205811,101.256159762333,55.7533418682149,188.216872566897,61.0672800994911,186.271867612293,78.4632648953301,432.271578444956,18.6952455929862,886.431369821799
1950,1973.48067017575,0.228922641255935,1062.35326766899,0,0,0,22.5868111451467,9.74100830314172,25.1782744725545,21.4534639120102,1.91872215271,5.6861114501953,130.980671977815,61.7736387872468,177.164499244544,68.1781304242488,257.076733648542,84.9929112989801,485.839303952721,89.6279607777435,620.487263772872
1951,1973.83637474765,0.259469154228751,1159.75677928303,0,0,0,21.9710414409637,11.028752982528,25.4005279541016,20.6126540899277,1.9113960266114,4.0691623687744,135.776667451788,60.293387776625,185.24073908738,60.7233693256638,217.951677830313,87.2781831499374,461.278400648315,50.2386932553233,781.544543894657
1952,1973.21579157605,0.291223967947714,990.726824204433,0,0,0,21.7654213905334,10.7606298815724,24.7859195073446,20.3630952835083,1.0888195037842,4.3448028564453,149.696292384444,56.4021518008533,201.835561906537,53.5782206546593,277.120236297172,87.6587196017475,466.25447884986,7.40326586604023,907.773675930122
1953,1974.77146560216,0.324025685852127,1422.91529059602,0,0,0,22.4488399823507,10.527922180598,25.5698035558065,21.1190118789673,0.437902450561499,5.1799831390381,140.940446701995,58.2611342836921,168.9369974591,58.813556251268,223.53755581823,85.6915462664758,485.003148595358,70.5152953859922,687.77507845434
1954,1974.55192185905,0.357707830125175,1360.16291977309,0,0,0,22.4654203255971,10.704992684908,25.6483500798543,21.0885741710663,1.456075668335,4.9817581176758,109.137058624861,54.7468887684572,174.070542795689,59.4854701430751,254.971015016198,67.1217269848015,493.291195453247,36.6835235011872,689.877149984442
1955,1975.16403860734,0.392099691203085,1536.6935791083,0,0,0,22.0814366340637,12.9880139905769,25.7036024729411,20.4556688070297,1.115161895752,5.8965606689453,128.02323706009,63.0883086832048,186.662248256179,60.8330748498707,304.123317062137,81.6403020224498,554.661203653328,72.9676949468743,804.405822807069
1956,1983.59694456067,0.427027196681726,4915.26970352043,0,0,0,21.9446968237559,13.0334830863939,25.7670234044393,20.3952358961105,1.0554714202881,6.644193649292,130.665171262423,59.9310200619646,186.633131927318,67.5683382632467,182.308682470887,79.4108634924008,765.367590320532,243.477911531715,2488.16351585481
1957,1982.18156126787,0.462313795184892,4124.08823681274,0,0,0,22.0879431565603,10.5128629782707,24.9294910430908,20.7940689325333,1.6769351959228,5.2408046722412,117.004781357244,53.7104626628579,180.164737745839,64.5363403711903,241.77729827608,87.9675529717352,801.752611993291,141.534111218832,2362.45885297894
1958,1981.26235872008,0.497781350696491,3691.20521621112,0,0,0,23.0970675945282,9.73721971822591,26.0124162038167,21.754341840744,1.6032066345215,4.4616470336914,111.619208231442,57.5860994879065,180.389566774996,60.1933045728182,226.850856973995,87.6746277073476,715.310127732377,120.563452700349,2085.29323179484
1959,1982.82909463454,0.533251042822157,4462.64370731705,0,0,0,22.7259066104889,11.2349610173404,25.8635981877645,21.4099777936935,0.816679000854499,6.1055965423584,110.991875481702,59.0912437762569,177.625180341856,60.8177621244438,278.721131851414,90.3691809836037,890.829277025152,165.354203555231,2304.36668887577
1960,1982.75949218331,0.568544268430181,4424.62019875069,0,0,0,22.4983452161153,10.70857040991,25.4530642827352,21.1717734336853,0.466732025146499,5.5220603942871,115.356627896966,64.2178452405523,176.762694944575,63.4166652767809,231.349652686572,83.4361134404047,781.836171584537,226.828134945106,1901.86057557076
1961,1981.40437517141,0.603483540130634,3755.05327393202,0,0,0,23.3560316562653,8.66998879475737,25.9085931777954,22.1922674179077,1.0627574920654,4.0294723510742,151.766666666667,52.3437338971114,190.113793103448,66.2230769230769,210.5,87.5,664.003518338064,147.091642581541,2419.20667363575
1962,1980.64127456546,0.637893377081368,12163,0,0,0,22.2937552134196,11.2416196763328,25.3605985641479,20.9349584579468,0.786149978637699,5.6852722167968,93.30625,50.5693813748613,149.371428571429,70.2205882352941,156.9,94.7,1135.40950281836,466.284765886792,6227.74682059787
1963,1973.26109472387,0.671601183664412,14583,0,0,0,22.488477786382,10.8356475336331,25.7353003819784,21.1027035713196,1.1279735565185,5.4933643341064,140.135555555556,70.3708789577627,209.230769230769,45.5842105263158,221.1,93.5464014285909,1627.77852373098,484.796756476137,8955.94105353241
1964,1963.81857008858,0.704438111650862,16774,0,0,0,22.0443135897319,11.0647990488939,25.1472959518433,20.7213885784149,0.901180267333999,5.4709529876709,101.925531914894,48.1839712693924,147.368181818182,61.936,96.6,78.2,998.480341038646,550.935001891291,5680.01510548341
1965,1979.01892868591,0.736239901570285,12796.3730752168,0,0,0,22.5999530951182,9.7834988372903,25.0029932657878,21.3488808870315,1.326171875,4.898416519165,135.106382978723,68.4714104854327,196.266666666667,71.2869565217391,344,73.3,2026.9680209628,721.574436402992,5407.70617790787
1966,1962.93120876149,0.766847699119495,16953,0,0,0,22.8795142173767,11.8263954881908,26.5019734700521,21.3353763818741,1.2296295166016,5.4989395141601,132.31914893617,62.836570341869,188.812,68.1227272727273,255.6,93.8,1990.52596223343,817.224161196651,7734.8020883303
1967,1976.42141850799,0.796108842583746,13670,0,0,0,22.7740037441254,8.68501511187442,25.1617240905762,21.7648822069168,0.671421051025401,4.8442840576172,110.291666666667,67.287677801169,178.605263157895,65.5344827586207,239.2,105.9,1599.45126025152,636.141792601208,7555.69263752224
1968,1966.49078808599,0.823877617402935,16212,0,0,0,22.0139104525248,10.7844203325234,25.3184757232666,20.6163318157196,0.446561813354499,4.2453479766846,95.8574468085106,69.3762076064197,162.289473684211,50.7785714285714,148.6,101.5,1271.81677421635,571.012010031428,5936.24108279516
1969,1979.80793532991,0.850015974192204,12499,0,0,0,22.338121175766,11.8241678134703,25.9006134668986,20.8883749246597,1.5342330932618,5.216718673706,119.6625,50.8230239039647,170.939130434783,72.488,168.4,88.6,1148.28956932703,528.632160449503,7470.4287209481
1970,1978.48488708478,0.874394206722028,12988,0,0,0,22.4664845466614,10.0725391512785,25.3646020889282,21.2630659341812,1.2349281311035,5.015365600586,122.989361702128,43.4605991721366,158.346153846154,79.2142857142857,146.1,85.5,1061.47011109149,580.529446755975,7253.05767328526
