"ano","ano2","sinano","c.total","c.rosa","c.7barbas","c.branco","tsm_med_SE","tsm_coef_SE","tsm_med_chuv_SE","tsm_med_seco_SE","tsm_amp_chuv_SE","tsm_amp_seco_SE","prec_med_SE","prec_coef_SE","prec_med_chuv_SE","prec_med_seco_SE","prec_amp_chuv_SE","prec_amp_seco_SE","c.rosa.recon","c.branco.recon","c.7barbas.recon"
1946,1964.9645800096,0.121824258377695,165.104705268157,0,0,0,26.9537822405497,3.11764012167723,27.0442236264547,26.3503744602203,2.3525218963623,1.307107925415,101.814234934171,90.6795520770803,170.065273755685,31.8319812949114,300.590243902439,67.8071428571428,4.4326533507912,52.8266366701474,481.047884794998
1947,1965.27237399207,0.146053512765744,174.929823563545,0,0,0,26.8780434131622,3.2180956708495,26.9885578155518,26.3233649730682,2.4766445159912,1.4283199310303,67.5046296296296,69.7173663404556,146.606153002699,18.5751906318083,193.15,42.5166666666667,4.87394737810264,122.141603390885,244.108977934327
1948,1965.5790018648,0.172069770960413,184.754941858934,0,0,0,26.8364537556966,3.05694294033413,26.9402562777201,26.3532898426056,2.6111507415772,1.0137825012207,91.5007340122105,83.970922415313,194.282745453051,24.4788184718332,308.345121951219,59.2218253968254,5.31703872751842,68.7969006519249,444.530395644797
1949,1966.18215655774,0.199739918575767,204.19158892155,0,0,0,26.7075417836507,3.38270492385828,26.8043060302735,26.2015678882599,2.799638748169,1.5895576477051,94.8950988227367,89.5686161803225,164.588716403669,31.379527411686,298.456707317073,51.0583333333333,6.25013135466856,45.3350114290392,448.558399555519
1950,1966.43267262719,0.228922641255935,212.307990991653,0,0,0,26.6304893493652,3.29751163205325,26.5978093147278,26.1471762657166,2.3631191253662,1.3737411499023,98.4052757352667,89.3871097402995,159.654443100218,28.6973350874552,309.976117886179,59.4152777777778,6.66530793783314,37.2321238950665,429.101197470003
1951,1968.79203280887,0.259469154228751,290.054579242118,0,0,0,26.4415968259176,3.51397221883131,26.4549107551575,26.1648530960083,3.1773948669433,1.902982711792,82.6356481481481,88.8709352288809,162.139934310132,27.7260787437871,302.023746612466,55.7581018518518,11.1989357005545,67.2653062077922,652.415802768669
1952,1969.57278366637,0.291223967947714,316.326091205874,0,0,0,27.0443155765533,3.18023697417945,27.1403849919637,26.5110449790955,2.4322299957276,1.3629341125488,102.622683469979,84.1729083900063,152.881388216775,31.0417517067408,273.836478093948,64.6730434303351,12.9501852385885,43.2697187357914,308.207949585939
1953,1970.23268173491,0.324025685852127,338.752991662739,0,0,0,26.8325779438019,2.78508974713285,26.8331654866536,26.4450438022614,2.3134822845459,1.2104473114014,92.469335215267,89.2333962853223,168.67672267045,30.1895323990954,273.008411434809,65.8361157039976,14.5358170036991,58.0141399731174,386.497773821986
1954,1965.9374683769,0.357707830125175,196.288776379607,0,0,0,26.6843581994375,3.54945786408253,26.8890334765116,26.0003385543823,2.8845672607422,1.4534912109375,100.757201102366,88.3467774452103,178.847219481636,30.1412930891001,254.110432663354,70.8632290441897,5.86106352590848,16.139429937248,79.9785229680292
1955,1965.62556040056,0.392099691203085,186.250068556058,0,0,0,26.5532919565837,2.6481200255588,26.6116449038188,26.2585110664367,2.4732131958008,1.3756771087646,93.5943146949142,89.4906283278398,153.635333841587,25.219717431061,261.260432663354,66.1572312957247,5.3861834213112,26.7119390097877,151.213896839207
1956,1962.17416847468,0.427027196681726,77.6712586174801,0,0,0,26.7187053362528,2.83528919419674,26.8510187466939,26.2228426933289,2.264009475708,1.6915550231933,91.6561010937482,90.8086196809685,164.122270000976,28.8972284983916,295.581814432149,67.1204512477002,1.44393972141201,15.7647592035289,8.58997425883124
1957,1962.86140162486,0.462313795184892,98.9383889532187,0,0,0,26.67884461085,2.67910107490472,26.6636465390523,26.4138975143433,2.166561126709,1.2725105285645,84.5582797227924,85.4949627978783,172.622003167814,31.2765509299479,290.487178184282,63.1879338661762,2.02770964596355,20.7544328545311,37.6687487188338
1958,1965.584503448,0.497781350696491,184.931568136857,0,0,0,26.8028198083242,3.05637582968728,27.0075511932373,26.1867532730103,2.2018623352051,1.3727779388428,97.9054669783529,89.1899552195649,161.740696231515,31.3836915136764,225.487291102078,64.9435908295479,5.31926830400237,11.3649482512278,3.37512481445533
1959,1966.92671481087,0.533251042822157,228.390486649019,0,0,0,26.9011189142863,3.28839915874226,27.0047248204549,26.3761301040649,2.6714725494385,1.2054138183593,119.758164249479,82.1426531597514,176.90119677437,31.1976472318218,272.33040217555,69.2726851851852,7.51488020292166,10.6981313372301,24.5734486252565
1960,1968.0928923808,0.568544268430181,266.763787037417,0,0,0,26.7179333368937,2.92792394279444,26.9045708974202,26.1004211902618,2.2385845184326,1.1557426452636,100.681299213445,89.8994546561014,171.856929729287,26.8930402847695,292.682953960905,61.5103053047613,9.73524811054151,16.1203783446757,30.8390044794524
1961,1969.85634109792,0.603483540130634,325.937619973102,0,0,0,26.6668350696564,3.37140254044758,26.6896300315857,26.264219045639,2.9653511047363,1.3719482421875,92.85,101.565718175549,167.75,17.95,196.2,26.5,13.6456678613428,7.4379449088949,18.235480236037
1962,1961.23902786206,0.637893377081368,49,0,0,0,26.7857646942139,3.63356369917053,26.8161772092183,26.3283922672272,3.1431026458741,1.4751167297363,110.491666666667,129.426118952296,251.9,39.7875,405,73.3,0.806166656604537,1.16428395249588,4.10246819539895
1963,1961.82727530576,0.671601183664412,67,0,0,0,26.7774493694305,3.97671310183358,26.8155771891276,26.2797813415527,2.9515419006347,1.9438381195068,81.7428571428571,116.420075978465,172.65,25.8,309.9,50.7,1.18730678825327,1.9140590471947,46.4378653682901
1964,1961.56631519401,0.704438111650862,59,0,0,0,27.0788795948029,3.34033630911552,27.3488337198893,26.3462867736816,2.6598739624024,1.1756973266602,237.997222222222,94.1985598395481,286.572413793103,36.7571428571429,887.6,63.2,1.0080252668494,2.06981590733399,16.0585117738707
1965,1973.83691296135,0.736239901570285,465.102893864196,0,0,0,27.0799222787221,3.24755158846321,27.3555138905843,26.5108833312988,2.6334133148193,1.4400482177734,141.836111111111,90.624016884089,212.372727272727,30.9928571428571,414.2,77.4,24.7940709886708,18.1122553994576,103.71037272821
1966,1961.46825583352,0.766847699119495,56,0,0,0,26.877469142278,3.01236080272332,26.9010993639628,26.5593359470367,2.4436111450195,1.9693737030029,176.575,105.521343513097,262.509090909091,41.5357142857143,725.1,74.9,0.94450711446284,3.38975956617012,23.2197087226004
1967,1971.02623370832,0.796108842583746,366,0,0,0,26.98304216067,3.88456153166297,27.2068626085917,26.1135973930359,2.8484725952148,1.0413818359375,111.602777777778,88.6862529539551,176.1,30.98125,337.2,77.4,16.5599916538673,5.91967658741797,0.368804151250555
1968,1961.59897748767,0.823877617402935,60,0,0,0,26.6603033542633,3.88797565987861,26.614356358846,26.3074026107788,3.1731815338135,2.0105628967285,101.725,101.905067656451,167.489473684211,28.2235294117647,414.8,72.2,1.03108348967945,2.07130627309392,31.5945808980207
1969,1961.33734090074,0.850015974192204,52,0,0,0,27.31187971433,2.75198856235212,27.4713144302368,26.8478438854217,2.4078559875489,0.925605773925799,121.047222222222,87.3801862780232,195.305,28.225,314.4,66.6,0.866221879026058,2.19334675539481,249.17167831918
1970,1982.01236152363,0.874394206722028,781.335875378223,0,0,0,27.0287493864695,3.16238582269064,26.9479246139526,26.8060200214386,2.7246704101563,1.6281509399414,66.7972222222222,66.990593198255,112.775,43.8083333333333,112.9,76.9,58.0459951463041,38.3401533319796,52.8168295462695
1971,1961.40282252696,0.896891586574461,54,0,0,0,27.1236510276794,3.80400036206638,27.3787395159403,26.281103849411,2.9723339080811,0.8902893066406,97.7613825031928,87.6339510166027,181.225480528161,28.1505958275566,271.854450660151,68.461256100081,0.9061465068386,1.06941760428932,488.415732609175
1972,1961.30458196776,0.917396951420413,51,0,0,0,27.1727449893951,2.32923791680331,27.1501240730286,27.0084428787231,1.9766578674316,1.4188842773437,94.9454768045117,83.1486264649403,188.591643385112,36.4389950085028,435.833333333333,65.324339286338,0.845205421896129,9.93611195779123,68.6084982237758
1973,1981.95640168847,0.935809244104226,779,0,0,0,27.7749950885773,2.87523821093635,28.0216190020243,27.0982012748718,2.2744617462158,0.830085754394499,110.675,89.3421483339374,174.357142857143,21.52,259.410477015827,68.4584297159079,57.8936989876453,18.1947541849533,0.835214064316506
1974,1963.3448026734,0.952037999977709,114,0,0,0,27.2648158073425,3.22364503392385,27.2345846494039,26.9461205005646,2.5286426544189,1.4601669311524,167.05,79.0897285833715,194.81,28.25,400.9,39.3,2.49965257439599,2.33294726864931,81.8863819161663
1975,1962.05498120805,0.966003780192221,74,0,0,0,27.1658453146617,3.32479859645516,27.1628290812174,26.7239165306091,2.8451461791993,1.3350143432617,142.925,88.6584673352712,203.1625,22.45,283.4,39.6,1.35450954299033,1.02207372761358,321.149482910146
1976,1960.74583188026,0.977638548935235,34,0,0,0,26.6429683367411,2.93181085265775,26.6231543223063,26.3807451725006,2.3401584625244,1.7401695251465,89.05,60.3252678848541,133.533333333333,44.5666666666667,109,33.5,0.544855713545757,3.48657980832422,507.326806163805
1977,1961.50095436693,0.986885992884045,57,0,0,0,27.0191877683004,2.82701231707151,27.184005578359,26.5545275211334,2.4401721954346,1.548583984375,134.761111111111,84.84221008938,177.65,48.9833333333333,453.8,70.7,0.963976270542527,3.02096958980538,113.312650931959
1978,1961.69689188919,0.993701781443465,63,0,0,0,27.0125167369843,2.38505731731092,27.0641536712646,26.6014127731323,1.841423034668,1.0940895080567,107.691666666667,80.658399878765,160.663636363636,24.45,237.1,66.9,1.0973763138181,2.96969387816071,394.103363130827
1979,1960.54779245295,0.998053766634097,28,0,0,0,26.9920320510864,3.15518993575958,27.0309896469116,26.598648071289,2.8071804046631,1.5668601989746,85.8861111111111,83.5817381714241,144.15,39.275,281.8,77.5,0.455000045163544,2.26846235165073,386.426214567627
1980,1962.70230792353,0.999922121802617,94,0,0,0,26.9808735847473,2.77723446854385,27.027845064799,26.4914517402649,2.1435203552246,0.9854221343994,79.1416666666667,86.5795686374044,137.366666666667,37.552380952381,216.1,73.4,1.88149961653156,2.79674353018322,324.469508452446
1981,1965.36831506409,0.999299418632729,178,0,0,0,26.6179703076681,2.63387777074597,26.6686245600382,26.2190623283386,2.367561340332,1.2370014190674,100.576511224257,88.7816252294079,151.317396258074,31.5550102546541,271.68170431116,65.4736383334142,5.00088732349611,4.56822888065784,68.4121102149011
1982,1966.42318088488,0.996190642244561,212,0,0,0,26.7065280278524,2.61098781218389,26.7310250600179,26.3754396438599,2.1516780853272,1.5694179534912,90.8249393307286,90.1247856759356,147.456567584372,30.9374832348417,249.601401905801,60.8873898810563,6.64718407848945,6.72077480907,52.890053891887
1983,1985.83495892021,0.990613144479053,948,0,0,0,27.1620801289876,3.11947396127854,27.3404417037964,26.49809217453,2.2500972747803,0.848094940185497,97.4540932280853,87.6708997672109,186.40995636902,34.355175415952,275.923135601726,60.7242881025867,78.4311284774479,31.7814476474118,76.8726442665767
1984,1986.11901893821,0.982596535771026,961,0,0,0,27.4571012655894,3.12191516024476,27.7204705874125,26.7792327404022,2.3549671173096,1.5982799530029,105.190113234047,97.6308576341003,161.183595165027,31.4112612827426,298.086291121769,68.8053634025158,80.0840378588871,26.0580325332275,65.8552847124659
1985,1991.01532472788,0.972182516318668,1202,0,156,23,27.3318881193797,3.43721198175528,27.4745081265767,26.6203663349152,2.6666202545166,0.8555698394775,105.499228992566,88.7100853241611,160.595661590859,29.57706049059,275.079586631997,63.4637401896983,110.859806318488,25.8273358298298,150.590102450416
1986,1988.3999720064,0.959424647556539,1069,0,238,64,27.0561384359996,3.17517556040685,27.1794497172038,26.4580445289612,2.4773941040039,1.118459701538,127.165517241379,71.8934037089943,183.970588235294,46.6916666666667,287.6,74.2,93.6834917471116,55.055697660491,226.305293972493
1987,2000.98382575245,0.944388065232377,1876,0,385,69,27.4848533471425,2.48180681409379,27.6742734909058,27.0538394451141,2.1554870605468,1.1496143341064,80.7777777777778,82.6240480990222,137.688888888889,23.8666666666667,142.4,63.5,188.811063791379,159.113169020413,410.978376905487
1988,1996.70031113904,0.927149135673547,1540,0,368,80,27.4941875934601,3.78062497637526,27.7036360104879,26.7654557228088,3.0849609375,1.1970806121826,108.6875,86.0340104385262,188.292857142857,46.7722222222222,285.4,75.7,152.570583228646,77.5908607556194,422.931078258065
1989,1990.13493855172,0.907795057105996,1156,0,243,53,27.3910830815633,2.87393865542117,27.459742863973,27.0189499855042,2.5523796081543,1.0870208740235,62.2125,99.8633067468078,132.066666666667,20.3,271.182787297521,57.5,105.058788855493,54.8030896947689,245.334215028876
1990,1986.63807395114,0.886423408154489,985,0,0,0,27.1827260653178,2.74832915739455,27.3757160504659,26.8060867786408,2.5474548339844,1.1273155212403,95.1469683894319,95.9040321290242,162.020755473841,30.6632761198834,323.13121518368,67.9467968650928,83.1156994910513,49.3626739482735,296.414726290119
1991,1988.07094385006,0.863141645908404,1053,0,0,0,26.7848957379659,3.69376166565938,26.9332545598348,26.183867931366,3.2083206176758,1.4446105957032,102.325,128.348433997879,204.42,29.4,352.4,71.6,91.7692129616099,18.92435622975,380.793597844944
1992,1991.5386971746,0.838066556178734,1230,0,0,0,26.7731688022613,3.07091530514412,26.9967800776164,26.0795948505402,2.1106300354004,1.0528945922852,109.636842105263,63.3679628220848,151.508333333333,37.8571428571429,187.1,60.4,114.362227697266,85.5551427153417,281.660678904464
1993,1998.23935033368,0.811323658800943,1649,0,0,0,26.9168451627096,2.59777380852255,27.0847110748291,26.4906175136566,2.2904281616211,0.949748992919897,59.7194444444444,103.698695553372,132.141666666667,23.5083333333333,149,70,165.343717900923,89.9682787683262,564.6391254965
1994,1994.6770983416,0.783046571050679,1410,0,0,0,26.9725008010864,3.39599159735443,27.1035742759705,26.329021692276,2.8965835571289,0.935705184936598,87.1171428571429,102.282873206456,175.384615384615,34.9590909090909,268.2,76.1,137.032892677572,64.9729002952911,593.128155680148
1995,1995.38473325499,0.753376332437337,1454,0,0,0,26.9535293579101,3.66997152418764,27.1510519981384,26.2241089344025,2.7478141784668,1.3676738739013,70.0805555555555,93.4786794558121,139.242857142857,26.0681818181818,151.6,61.5,142.525191736145,54.9472359073066,353.075763425239
1996,1996.92791874414,0.722460694320087,1555.5,155.55,1224.5,331,27.1140855153402,3.26971385298268,27.1793212890625,26.6889436244965,2.5957221984863,1.9928932189942,97.2361111111111,100.916627977738,180.33125,30.76,373.6,69.6,154.569407537011,254.186739893159,1154.73647514786
1997,2002.32537272513,0.690453377954393,2011.5,201.15,1684.5,327,26.8095812797546,2.73971665895079,26.7071398099263,26.6729860305786,2.1309375762939,1.773609161377,86.7416666666667,98.7324551167403,154.688235294118,25.9473684210526,257.9,77.6,200.802483966433,438.218916337697,1775.0752638875
1998,2004.09478834195,0.657513304720526,2241.5,224.15,1748.5,493,27.7367301781972,2.90518945443589,27.894205570221,27.2005257606506,2.3949317932129,0.947599411010799,79.8388888888889,101.87548957243,159.635714285714,29.0590909090909,293.2,75.5,217.156955900497,449.432436336243,1510.744123893
1999,2002.856918436,0.623803802411014,2072.5,207.25,1530,542.5,27.3890763918559,3.55933216769133,27.5602564811707,26.6839365959167,2.8693218231201,1.5188522338868,99.4027777777778,80.1289392254158,155.621052631579,36.5705882352941,327.4,72.9,205.486435726343,518.61223793868,1546.2194821585
